num,name,song,,,
1,Billy Joel,Uptown Girl,,,
2,Weathergirls,Raining Men,,,
3,Dexys Midnight Runners,Come On Eileen,,,
4,Michael Jackson,Way You Make Me Feel,,,
5,Tina Turner,Simply the Best,,,
6,Michael Jackson,Smooth Criminal,,,
7,Musical Youth,Pass the Dutchie,,,
8,Wham!,Wake me up before you go go,,,
9,A-Ha,Take On Me,,,
10,Madness,Baggy Trousers,64,Eurythmics,Sweet Dreams (Are Made of This)
11,James,Sit Down,67,Falco,Rock Me Amadeus
12,The Jam,Town Called Malice,,,
13,Salt N Pepper,Push It,,,
14,Cyndi Lauper,Girls Just Wanna Have Fun,,,
15,Frankie Goes to Hollywood,Relax,,,
16,UB40,Red Red Wine,,,
17,Michael Jackson,Bad,,,
18,Fleetwood Mac,Everywhere,,,
19,Michael Jackson,Beat It,,,
20,Blondie,The Tide is High,,,
21,Madonna,Like a Prayer,,,
22,Tiffany,I Think We're Alone Now,,,
23,Adam & The Ants,Stand & Deliver,74,Bryan Adams,Summer of 69
24,Run DMC,Walk This Way,,,
25,Survivor,Eye of the Tiger,,,
26,Mike Oldfield,Moonlight Shadow,86,DNA ft. Suzanne Vega,Tom's Diner
27,The Bangles,Walk Like an Egyptian,,,
28,Phil Collins,In the Air Tonight,,,
29,Michael Jackson,Thriller,,,
30,Queen,Another One Bites the Dust,,,
31,Madonna,Like a Virgin,,,
32,Tears for Fears,Shout,,,
33,Men Without Hats,The Safety Dance,,,
34,Dire Straits,Walk of Life,,,
35,Eurythmics,There Must Be An Angel,,,
36,The Police,Every Breath You Take,,,
37,U2,Pride (In the Name of Love),,,
38,Peter Gabriel,Sledgehammer,,,
39,Ray Parker Junior,Ghostbusters,,,
40,Diana Ross,Chain Reaction,,,
41,Phil Collins,You Can't Hurry Love,,,
42,Frankie Goes to Hollywood,Two Tribes,,,
43,Pet Shop Boys,It's a Sin,95,Joan Jett and the Blackhearts,I Love Rock N Roll
44,Culture Club,Karma Chameleon,,,
45,Belinda Carlisle,Heaven is a Place on Earth,,,
46,The Proclaimers,I'm Gonna Be (500 Miles),,,
47,Heaven 17,Temptation,,,
48,Yazoo,Don't Go,,,
49,Kim Wilde,Kids In America,,,
50,Paul Hardcastle,19,99,Chris Rea,Wicked Game
51,MARRS,Pump up the Volume,,,
52,Starship,Nothings Gonna Stop Us Now,,,
53,Berlin,Take My Breath Away,,,
54,The Bangles,Eternal Flame,,,
55,The Cars,Drive,,,
56,Belinda Carlisle,Heaven is a Place On Earth,,,
57,Queen,Radio Gaga,,,
58,Madness,Baggy Trousers,,,
59,Rick Astley,Never Gonna Give You Up,,,
60,Survivor,Eye of the Tiger,,,
61,Matthew Wilder,Break My Stride,,,
62,Eurythmics,There Must be an Angel (Playing with my Heart),,,
63,Enya,Orinoco Flow,,,
,,,,,
65,Bronski Beat,Smalltown Boy,,,
66,Billy Ocean,"When the Going Gets Tough, The Tough Get Going",,,
,,,,,
68,Madness,It Must Be Love,,,
69,King,Love & Pride,,,
70,Bomb the Bass,Beat Dis,,,
71,Tina Turner,What's Love Got to Do With It,,,
72,S'Express,Theme from S'Express,,,
73,Bronski Beat,Smalltown Boy,,,
,,,,,
75,The Jacksons,Can You Feel It,,,
76,Paul Young,Wherever I Lay My Hat (That's My Home),,,
77,KC and the Sunshine Band,Give It Up,,,
78,Duran Duran,The Reflex,,,
79,Bonnie Tyler,Total Eclipse of the Heart,,,
80,Mr. Mister,Broken Wings,,,
81,John Farnham,You're the Voice,,,
82,Spandau Ballet,TRUE,,,
83,Black Lace,Agadoo,,,
84,Nu Shooz,I Can't Wait,,,
85,David Bowie,Lets Dance,,,
,,,,,
87,Luther Vandross,Never Too Much,,,
88,Salt N Pepa,Push It,,,
89,Dolly Parton,Nine to Five,,,
90,Erasure,A Little Respect,,,
91,Pet Shop Boys,It's a Sin,,,
92,Wham,Club Tropicana,,,
93,Journey,Don't Stop Believing,,,
94,George Michael,Careless Whisper,,,
,,,,,
96,The Clash,Should I Stay or Should I Go,,,
97,U2,With Or Without You,,,
98,Van Halen,Jump,,,
