NUM,BAND,SONG,,,,
1,Radiohead,Creep,,,,
2,Eminem,Slim Shady,,,,
3,New Radicals,You Get What You Give,,,,
4,6 Pence None the Richer,Kiss Me,,,,
5,Shakespeares Sister,Stay,,,"Ice Cube - ""It Was a Good Day""",
6,Sir MixAlot,Baby Got Back,,,,
7,Take That,It Only Takes A Minute,,,"Joan Osborne - ""One of Us""",
8,Shania Twain,That Don't Impress Me Much,,,,
9,Wyclef Jean,Staying Alive,,,,
10,Snoop Doggy Dogg,What's My Name,,,,
11,The B52's,Love Shack,,,,
12,Cypress Hill,Insane In the Brain,,,,
13,Pj and Duncan,Lets Get Ready to Rhumble,,,"Naughty by Nature - ""O.P.P.""",
14,Toploader,Dancing in the Moonlight,,,Foo figheters everlong,
15,Alanis Morissette,All I really Want,,,"En Vogue - ""My Lovin' (You're Never Gonna Get It)""",
16,2 Pac,California Love,,,,
17,Prodigy,Their Law,,,"BLACKstreet - ""No Diggity""",
18,Propellerheads,History Repeating,,,,
19,Bassment Jaxx,Bingo Bango,,,"Ricky Martin - ""Livin' la Vida Loca""",
20,Britney Spears,Baby One More Time,,,Sarah - Posession,
21,K7,Come Baby Come,,,"Hanson - ""MMMBop",
22,Boyzone,Love Me for a Reason,,,"Nirvana - ""Smells Like Teen Spirit""",
23,Technotronic,Pump Up The Jam,,,,
24,Roni Size / Reprazent,Brown Paper Bag,,103,DJ Jazzy Jeff & The Fresh Prince,Summertime
25,EMF,Unbelievable,,,,
26,Supergrass,Feel Alright,,,,
27,Whigfield,Saturday Night,,71,Spice Girls,Wannabe
28,Coolio,Gangsters Paradise,,,,
29,Everything But the Girl,Missing,,,,
30,Bobby Brown,Two Can Play That Game,,,Oasis,Wonderwall
31,Britney Spears,Baby One More Time,,,,
32,Cornershop,Brimful of Asher,,,,
33,Fat Les,Vindaloo,,62,Bjork,Human Behaviour
34,Groove Armada,At the River,,82,Arrested Development,People Everyday
35,Texas,Say What You Want,,105,Seal,Kiss From A Rose
36,Robbie Williams,Let Me Entertain You,,96,Pulp,Common People
37,Steps,Tragedy,,81,TLC,No Scrubs
38,Fugees,Killing Me Softly,,,,
39,Gina G,"Ooh Aah, Just a Little Bit",,78,Fun Lovin' Criminals,Scooby Snacks
40,Alanis Morissette,Ironic,,,,
41,Babylon Zoo,Spaceman,,51,Natalie Imbruglia,Torn
42,Beats International,Dub Be Good To Me,,70,The Verve,Bittersweet Symphony
43,House of Pain,Jump around,,,,
44,REM,Everybody Hurts,,,,
45,Robbie Williams,Millennium,,63,MC Hammer,You Can't Touch This
46,Shaggy,Boombastic,,60,Sinead O Connor,Nothing Compares to You
47,Shamen,Ebenezzer Goode,,59,Cher,Believe
48,Coolio,Gangsters paradise,,,,
49,Jimmy Cliff,I Can See Clearly Now,,,,
50,The Levellers,One Way,,56,Michael Jackson,Black or White
,,,,,,
52,Robbie Williams,Angels,,,,
53,Groove Armada,I See You Baby,,,,
54,Maria McKee,Show Me Heaven,,,,
55,Coolio,Gangsters Paradise,,,,
,,,,,,
57,Oasis,Roll With It,,,,
58,EZ Rollers,Walk This Land,,,,
,,,,,,
,,,,,,
61,Spice Girls,Spice Up Your Life,,,,
,,,,,,
,,,,,,
64,Spice Girls,Stop,,,,
65,Beats International,Dub Be Good To Me,,,,
66,Prodigy,Poison,,,,
67,Roxette,Joyride,,,,
68,Manic Street Preachers,A Design for Life,,,,
69,Dubish Heroes,Tubthumping (I Can't Get Down),,,,
,,,,,,
,,,,,,
72,Blur,Girls and Boys,,,,
73,Blur,Parklife,,,,
74,Arrested Development,Mr. Wendal,,,,
75,Chaka Demus and Pliers,Tease Me,,,,
76,Shanice,I Love Your Smile,,,,
77,Ini Kamoze,Here Comes The Hotstepper,,,,
,,,,,,
79,Alanis Morrisette,Ironic,,,,
80,U2,The Fly,,,,
,,,,,,
,,,,,,
83,Shabba Ranks ft. Chevelle Franklin,Mr. Loverman,,,,
84,Blue Pearl,Naked In The Rain,,,,
85,Nomad,(I Wanna Give You) Devotion,,,,
86,M People,Moving On Up,,,,
87,CeCe Peniston,Finally,,,,
88,Montell Jordan,This Is How We Do It,,,,
89,Blue Boy,Remember Me,,,,
90,Sub-Sub,Ain't No Love (Ain't No Use),,,,
91,Omar,There's Nothing Like This,,,,
92,Happy Mondays,Step On,,,,
93,Charles and Eddie,Would I Lie to You,,,,
94,Wet Wet Wet,Love Is All Around,,,,
95,Oasis,Live Forever,,,,
,,,,,,
97,Pulp,Disco 2000,,,,
98,Massive Attack,Unfinished Sympathy,,,,
99,Manic Street Preachers,A Design for Life,,,,
100,Ocean Colour Scene,The Riverboat Song,,,,
101,Reef,Place Your Hands,,,,
102,The Charlatons,The Only One I Know,,,,
,,,,,,
104,Luniz,I Got Five On It,,,,
